"id","BirthYear","DeathYear","DeathAge","Gender","Island","DeathYear.factor","Group","TimeElapsed"
14,1820,1903,83,"F","StMarys",1903,1,70
15,1815,1904,89,"M","StMarys",1904,1,71
18,1894,1916,22,"M","StMarys",1916,1,83
22,1842,1875,33,"M","StMarys",1875,1,42
26,1868,1868,0,"M","StMarys",1868,1,35
28,1844,1865,21,"M","StMarys",1865,1,32
39,1924,2002,78,"M","StMarys",2002,1,169
43,1896,1946,50,"F","Tresco",1946,1,113
44,1930,1993,63,"M","Tresco",1993,1,160
47,1825,1889,64,"F","StMartins",1889,1,56
48,1873,1955,82,"F","StMarys",1955,1,122
54,1835,1924,89,"F","StMarys",1924,1,91
56,1876,1967,91,"F","StMarys",1967,1,134
57,1841,1912,71,"M","StMarys",1912,1,79
58,1905,2000,95,"M","StMarys",2000,1,167
59,1868,1948,80,"F","StMarys",1948,1,115
62,1876,1902,26,"F","StMarys",1902,1,69
63,1908,1987,79,"F","StMarys",1987,1,154
64,1875,1962,87,"F","StMarys",1962,1,129
66,1839,1926,87,"F","StMarys",1926,1,93
70,1846,1906,60,"F","StMartins",1906,1,73
71,1874,1926,52,"F","StMartins",1926,1,93
74,1890,1917,27,"M","StMartins",1917,1,84
77,1778,1851,73,"M","StMartins",1851,1,18
78,1868,1915,47,"M","StMarys",1915,1,82
82,1833,1911,78,"M","StMartins",1911,1,78
84,1834,1903,69,"M","StMarys",1903,1,70
87,1875,1929,54,"F","StMarys",1929,1,96
88,1866,1947,81,"M","StMarys",1947,1,114
89,1824,1845,21,"M","StAgnes",1845,1,12
90,1903,1982,79,"F","StMarys",1982,1,149
91,1817,1894,77,"F","StMartins",1894,1,61
92,1818,1888,70,NA,"Tresco",1888,1,55
96,1871,1933,62,"F","StMartins",1933,1,100
97,1843,1931,88,"M","StMartins",1931,1,98
98,1882,1884,2,"F","StMartins",1884,1,51
99,1888,1970,82,"F","StMartins",1970,1,137
101,1833,1915,82,"M","StMarys",1915,1,82
102,1820,1897,77,"F","StMarys",1897,1,64
104,1846,1881,35,"M","StMartins",1881,1,48
106,1821,1898,77,"M","StMarys",1898,1,65
108,1886,1916,30,"M","StMartins",1916,1,83
109,1824,1864,40,"F","StMartins",1864,1,31
110,1819,1904,85,"F","StMarys",1904,1,71
112,1850,1914,64,"M","StMartins",1914,1,81
113,1878,1890,12,"M","StMartins",1890,1,57
116,1891,1940,49,"M","StMartins",1940,1,107
118,1823,1905,82,"M","StMartins",1905,1,72
119,1825,1912,87,"M","StMarys",1912,1,79
120,1868,1955,87,"M","StMarys",1955,1,122
122,1800,1867,67,"M","StMarys",1867,1,34
123,1870,1934,64,"F","StMarys",1934,1,101
124,1807,1898,91,"F","StMarys",1898,1,65
129,1886,1954,68,"M","StMarys",1954,1,121
131,1884,1974,90,"F","StMarys",1974,1,141
132,1814,1889,75,"M","StMarys",1889,1,56
135,1799,1876,77,"F","StMarys",1876,1,43
137,1890,1967,77,"F","StMarys",1967,1,134
138,1897,1985,88,"F","StMarys",1985,1,152
140,1893,1965,72,"M","StMarys",1965,1,132
142,1900,1958,58,"M","StMarys",1958,1,125
144,1810,1873,63,"M","StMarys",1873,1,40
146,1858,1881,23,"F","StMarys",1881,1,48
147,1862,1878,16,"M","StMarys",1878,1,45
148,1842,1859,17,"M","StMarys",1859,1,26
149,1765,1857,92,"M","StMarys",1857,1,24
152,1791,1821,30,"M","StMarys",1821,0,0
155,1968,1997,29,"M","StMarys",1997,1,164
159,1809,1888,79,"M","StMarys",1888,1,55
160,1895,1914,19,"M","StMarys",1914,1,81
168,1890,1917,27,"F","StMarys",1917,1,84
