"family.ID","Island","HiscoTitleFinal","Hiscocode","HCLASS","HCLASS.cat","children","first.birth","last.birth","range","mother_birth_year","mother_age_first_repro","father_birth_year","father_age_first_repro","Group","TimeElapsed"
633,"StMarys","Shoemaker",80110,7,"Manual",1,1856,1856,0,NA,NA,NA,NA,1,23
667,"StMarys","Shoemaker",80110,7,"Manual",5,1822,1833,11,NA,NA,NA,NA,0,0
1297,"StMarys","Shoemaker",80110,7,"Manual",3,1826,1832,6,NA,NA,NA,NA,0,0
516,"StAgnes","Shoemaker",80110,7,"Manual",3,1847,1861,14,1823,24,NA,NA,1,14
316,"StMarys","Shoemaker",80110,7,"Manual",1,1871,1871,0,NA,NA,NA,NA,1,38
1213,"StMarys","Shoemaker",80110,7,"Manual",2,1903,1908,5,NA,NA,NA,NA,1,70
2652,"StMarys","Shoemaker",80110,7,"Manual",1,1820,1820,0,NA,NA,NA,NA,0,0
1564,"StMarys","Shoemaker",80110,7,"Manual",6,1816,1832,16,NA,NA,NA,NA,0,0
839,"StMarys","Shoemaker",80110,7,"Manual",2,1843,1847,4,NA,NA,NA,NA,1,10
165,"Tresco","Shoemaker",80110,7,"Manual",3,1875,1879,4,NA,NA,NA,NA,1,42
845,"StMarys","Shoemaker",80110,7,"Manual",2,1843,1847,4,NA,NA,NA,NA,1,10
1148,"Tresco","Shoemaker",80110,7,"Manual",4,1836,1846,10,NA,NA,NA,NA,1,3
629,"StMarys","Shoemaker",80110,7,"Manual",4,1842,1856,14,NA,NA,NA,NA,1,9
838,"Tresco","Shoemaker",80110,7,"Manual",1,1847,1847,0,NA,NA,NA,NA,1,14
1261,"StMarys","Shoemaker",80110,7,"Manual",6,1824,1850,26,NA,NA,NA,NA,0,0
83,"StMarys","Shoemaker",80110,7,"Manual",11,1868,1885,17,NA,NA,NA,NA,1,35
747.2,"Tresco","Shoemaker",80110,7,"Manual",5,1843,1863,20,1823,20,NA,NA,1,10
1291,"StMarys","Shoemaker",80110,7,"Manual",3,1832,1835,3,NA,NA,NA,NA,0,0
1358,"StMartins","Shoemaker",80110,7,"Manual",1,1835,1835,0,NA,NA,NA,NA,1,2
48,"StMarys","Shoemaker",80110,7,"Manual",3,1848,1862,14,NA,NA,NA,NA,1,15
1063,"StMarys","Shoemaker",80110,7,"Manual",3,1838,1843,5,NA,NA,NA,NA,1,5
1626,"StMarys","Shoemaker",80110,7,"Manual",1,1823,1823,0,NA,NA,NA,NA,0,0
1160.2,"StMarys","Shoemaker",80110,7,"Manual",3,1829,1833,4,NA,NA,NA,NA,0,0
401,"StMarys","Shoemaker",80110,7,"Manual",1,1866,1866,0,NA,NA,NA,NA,1,33
505.1,"StMarys","Shoemaker",80110,7,"Manual",2,1845,1848,3,1826,19,NA,NA,1,12
448,"StAgnes","Shoemaker",80110,7,"Manual",4,1860,1864,4,NA,NA,NA,NA,1,27
1257,"StMarys","Shoemaker",80110,7,"Manual",1,1830,1830,0,NA,NA,NA,NA,0,0
776,"Tresco","Shoemaker",80110,7,"Manual",2,1843,1850,7,NA,NA,NA,NA,1,10
588,"StAgnes","Shoemaker",80110,7,"Manual",5,1844,1858,14,NA,NA,NA,NA,1,11
1558,"StMarys","Shoemaker",80110,7,"Manual",1,1826,1826,0,NA,NA,NA,NA,0,0
247,"StAgnes","Shoemaker",80110,7,"Manual",4,1872,1875,3,NA,NA,NA,NA,1,39
684,"StMarys","Shoemaker",80110,7,"Manual",6,1840,1854,14,NA,NA,NA,NA,1,7
1160.3,"StMarys","Shoemaker",80110,7,"Manual",2,1859,1859,0,NA,NA,NA,NA,1,26
1636,"StMarys","Shoemaker",80110,7,"Manual",7,1802,1822,20,NA,NA,NA,NA,0,0
2983,"Tresco","Shoemaker",80110,7,"Manual",3,1831,1835,4,NA,NA,NA,NA,0,0
778,"StMarys","Shoemaker",80110,7,"Manual",2,1844,1850,6,NA,NA,NA,NA,1,11
666,"StMarys","Farmer",61110,8,"Manual",9,1841,1855,14,NA,NA,NA,NA,1,8
429,"StMarys","Farmer",61110,8,"Manual",5,1853,1865,12,NA,NA,NA,NA,1,20
91,"Bryher","Farmer",61110,8,"Manual",4,1874,1882,8,NA,NA,NA,NA,1,41
51,"StMarys","Farmer",61110,8,"Manual",1,1845,1845,0,NA,NA,NA,NA,1,12
491,"StMarys","Farmer",61110,8,"Manual",6,1860,1868,8,NA,NA,NA,NA,1,27
190,"StMarys","Farmer",61110,8,"Manual",4,1878,1896,18,NA,NA,NA,NA,1,45
1468,"StMarys","Farmer",61110,8,"Manual",3,1892,1895,3,NA,NA,NA,NA,1,59
1020,"StMarys","Farmer",61110,8,"Manual",6,1893,1905,12,NA,NA,NA,NA,1,60
168,"Tresco","Farmer",61110,8,"Manual",2,1879,1880,1,NA,NA,NA,NA,1,46
32,"StMarys","Farmer",61110,8,"Manual",5,1880,1889,9,NA,NA,NA,NA,1,47
61,"StMarys","Farmer",61110,8,"Manual",3,1876,1882,6,1851,25,1846,30,1,43
170,"StMarys","Farmer",61110,8,"Manual",4,1861,1879,18,1836,25,1835,26,1,28
514.2,"StMarys","Farmer",61110,8,"Manual",5,1854,1861,7,NA,NA,NA,NA,1,21
1011,"StMarys","Farmer",61110,8,"Manual",6,1890,1900,10,NA,NA,NA,NA,1,57
546,"StMarys","Farmer",61110,8,"Manual",1,1860,1860,0,NA,NA,NA,NA,1,27
933,"StMarys","Farmer",61110,8,"Manual",3,1903,1911,8,NA,NA,NA,NA,1,70
1322,"StMarys","Farmer",61110,8,"Manual",4,1823,1833,10,NA,NA,NA,NA,0,0
250,"StMarys","Farmer",61110,8,"Manual",6,1851,1870,19,NA,NA,NA,NA,1,18
876,"StMartins","Farmer",61110,8,"Manual",2,1844,1846,2,NA,NA,NA,NA,1,11
1003,"StMarys","Farmer",61110,8,"Manual",5,1892,1897,5,NA,NA,NA,NA,1,59
424,"StMarys","Farmer",61110,8,"Manual",2,1863,1865,2,1833,30,1822,41,1,30
1702,"","Farmer",61110,8,"Manual",3,1810,1819,9,NA,NA,NA,NA,0,0
1466,"StMarys","Farmer",61110,8,"Manual",2,1892,1892,0,NA,NA,NA,NA,1,59
1438,"StAgnes","Farmer",61110,8,"Manual",1,1889,1889,0,NA,NA,NA,NA,1,56
1572,"StMartins","Farmer",61110,8,"Manual",3,1818,1826,8,NA,NA,NA,NA,0,0
365,"Tresco","Farmer",61110,8,"Manual",2,1866,1868,2,NA,NA,NA,NA,1,33
963,"StMartins","Farmer",61110,8,"Manual",4,1878,1894,16,1854,24,1848,30,1,45
567,"StMarys","Farmer",61110,8,"Manual",3,1854,1861,7,NA,NA,NA,NA,1,21
959,"StMartins","Farmer",61110,8,"Manual",4,1893,1897,4,NA,NA,NA,NA,1,60
630,"StMarys","Farmer",61110,8,"Manual",4,1845,1856,11,NA,NA,NA,NA,1,12
174,"StAgnes","Farmer",61110,8,"Manual",6,1858,1878,20,NA,NA,NA,NA,1,25
967,"StMartins","Farmer",61110,8,"Manual",2,1890,1891,1,NA,NA,NA,NA,1,57
1141,"StMarys","Farmer",61110,8,"Manual",1,1839,1839,0,NA,NA,NA,NA,1,6
133.2,"StMartins","Farmer",61110,8,"Manual",5,1862,1875,13,1835,27,1832,30,1,29
1100,"StMarys","Farmer",61110,8,"Manual",3,1829,1841,12,NA,NA,NA,NA,0,0
37,"StMarys","Farmer",61110,8,"Manual",3,1878,1883,5,NA,NA,NA,NA,1,45
829,"StMartins","Farmer",61110,8,"Manual",2,1844,1848,4,NA,NA,NA,NA,1,11
1032,"StMarys","Farmer",61110,8,"Manual",13,1885,1901,16,NA,NA,NA,NA,1,52
439,"StMarys","Farmer",61110,8,"Manual",6,1845,1865,20,NA,NA,NA,NA,1,12
844,"StMarys","Farmer",61110,8,"Manual",3,1842,1847,5,NA,NA,NA,NA,1,9
1216,"StMarys","Farmer",61110,8,"Manual",2,1909,1909,0,NA,NA,NA,NA,1,76
740.2,"Sampson","Farmer",61110,8,"Manual",3,1835,1851,16,NA,NA,NA,NA,1,2
964,"StMartins","Farmer",61110,8,"Manual",2,1888,1892,4,NA,NA,NA,NA,1,55
514.1,"StMarys","Farmer",61110,8,"Manual",3,1824,1830,6,NA,NA,NA,NA,0,0
1911,"","Farmer",61110,8,"Manual",4,1803,1819,16,NA,NA,NA,NA,0,0
1193,"StMarys","Farmer",61110,8,"Manual",3,1906,1911,5,NA,NA,NA,NA,1,73
1669,"StMarys","Farmer",61110,8,"Manual",8,1800,1821,21,NA,NA,NA,NA,0,0
132,"StMartins","Farmer",61110,8,"Manual",2,1870,1873,3,NA,NA,NA,NA,1,37
932,"StMarys","Farmer",61110,8,"Manual",1,1903,1903,0,NA,NA,NA,NA,1,70
1439,"StAgnes","Farmer",61110,8,"Manual",2,1885,1887,2,NA,NA,NA,NA,1,52
1234,"StMarys","Farmer",61110,8,"Manual",2,1903,1906,3,NA,NA,NA,NA,1,70
107,"StMartins","Farmer",61110,8,"Manual",1,1881,1881,0,1857,24,1851,30,1,48
1605,"StMarys","Farmer",61110,8,"Manual",10,1806,1824,18,NA,NA,NA,NA,0,0
1294,"StMarys","Farmer",61110,8,"Manual",1,1832,1832,0,NA,NA,NA,NA,0,0
1516,"StMarys","Farmer",61110,8,"Manual",1,1899,1899,0,1861,38,1858,41,1,66
1268,"StMarys","Farmer",61110,8,"Manual",6,1821,1833,12,NA,NA,NA,NA,0,0
1049,"StMartins","Farmer",61110,8,"Manual",8,1821,1844,23,NA,NA,NA,NA,0,0
784,"Tresco","Farmer",61110,8,"Manual",3,1843,1850,7,NA,NA,NA,NA,1,10
1105,"StMarys","Farmer",61110,8,"Manual",4,1841,1849,8,NA,NA,NA,NA,1,8
54,"StAgnes","Farmer",61110,8,"Manual",2,1880,1883,3,1858,22,1857,23,1,47
1231,"StMarys","Farmer",61110,8,"Manual",2,1910,1911,1,NA,NA,NA,NA,1,77
63,"Bryher","Farmer",61110,8,"Manual",2,1877,1882,5,NA,NA,NA,NA,1,44
1568,"StMarys","Farmer",61110,8,"Manual",7,1810,1829,19,NA,NA,NA,NA,0,0
970,"StMartins","Farmer",61110,8,"Manual",5,1885,1887,2,NA,NA,NA,NA,1,52
406,"StMarys","Farmer",61110,8,"Manual",2,1866,1869,3,NA,NA,NA,NA,1,33
982,"StMarys","Farmer",61110,8,"Manual",3,1876,1881,5,NA,NA,NA,NA,1,43
1412,"StAgnes","Farmer",61110,8,"Manual",2,1886,1886,0,NA,NA,NA,NA,1,53
760,"StMarys","Farmer",61110,8,"Manual",7,1853,1863,10,NA,NA,NA,NA,1,20
118,"Bryher","Farmer",61110,8,"Manual",1,1881,1881,0,NA,NA,NA,NA,1,48
1214,"StMarys","Farmer",61110,8,"Manual",1,1908,1908,0,NA,NA,NA,NA,1,75
104,"Bryher","Farmer",61110,8,"Manual",2,1874,1881,7,1843,31,1844,30,1,41
1206,"StAgnes","Farmer",61110,8,"Manual",1,1908,1908,0,NA,NA,NA,NA,1,75
907,"StMarys","Farmer",61110,8,"Manual",5,1903,1910,7,NA,NA,NA,NA,1,70
286,"StMarys","Farmer",61110,8,"Manual",2,1867,1872,5,1836,31,1826,41,1,34
699,"","Farmer",61110,8,"Manual",1,1853,1853,0,NA,NA,NA,NA,1,20
1489,"StMarys","Farmer",61110,8,"Manual",1,1895,1895,0,1865,30,1848,47,1,62
761,"StMarys","Farmer",61110,8,"Manual",1,1850,1850,0,NA,NA,NA,NA,1,17
249,"StMartins","Farmer",61110,8,"Manual",4,1872,1889,17,NA,NA,NA,NA,1,39
1132,"StMarys","Farmer",61110,8,"Manual",1,1839,1839,0,NA,NA,NA,NA,1,6
230,"StMarys","Farmer",61110,8,"Manual",5,1857,1870,13,NA,NA,NA,NA,1,24
2642,"StMarys","Farmer",61110,8,"Manual",3,1818,1829,11,NA,NA,NA,NA,0,0
890,"StMarys","Farmer",61110,8,"Manual",1,1845,1845,0,NA,NA,NA,NA,1,12
515,"StMarys","Farmer",61110,8,"Manual",1,1861,1861,0,NA,NA,NA,NA,1,28
1242,"StMarys","Farmer",61110,8,"Manual",1,1912,1912,0,NA,NA,NA,NA,1,79
81,"StMarys","Farmer",61110,8,"Manual",11,1868,1882,14,NA,NA,NA,NA,1,35
952,"StMartins","Farmer",61110,8,"Manual",1,1902,1902,0,NA,NA,NA,NA,1,69
1633,"StMarys","Farmer",61110,8,"Manual",7,1807,1822,15,NA,NA,NA,NA,0,0
2656,"StMarys","Farmer",61110,8,"Manual",1,1819,1819,0,NA,NA,NA,NA,0,0
114,"StMarys","Farmer",61110,8,"Manual",2,1875,1880,5,NA,NA,NA,NA,1,42
142,"StMarys","Farmer",61110,8,"Manual",9,1870,1885,15,NA,NA,NA,NA,1,37
1668.1,"StMarys","Farmer",61110,8,"Manual",3,1815,1833,18,NA,NA,NA,NA,0,0
1208,"StMarys","Farmer",61110,8,"Manual",1,1908,1908,0,NA,NA,NA,NA,1,75
854,"StMarys","Farmer",61110,8,"Manual",6,1839,1854,15,NA,NA,NA,NA,1,6
1316,"StMarys","Farmer",61110,8,"Manual",1,1833,1833,0,NA,NA,NA,NA,0,0
655,"StMarys","Farmer",61110,8,"Manual",1,1855,1855,0,NA,NA,NA,NA,1,22
36,"StAgnes","Farmer",61110,8,"Manual",1,1883,1883,0,NA,NA,NA,NA,1,50
1390,"StMartins","Farmer",61110,8,"Manual",1,1885,1885,0,NA,NA,NA,NA,1,52
29.2,"StMartins","Farmer",61110,8,"Manual",3,1883,1886,3,NA,NA,NA,NA,1,50
713.2,"StMarys","Farmer",61110,8,"Manual",8,1837,1852,15,NA,NA,NA,NA,1,4
1046.2,"StMarys","Farmer",61110,8,"Manual",1,1844,1844,0,NA,NA,NA,NA,1,11
671,"StMarys","Farmer",61110,8,"Manual",7,1842,1855,13,NA,NA,NA,NA,1,9
7,"StMarys","Farmer",61110,8,"Manual",5,1884,1898,14,NA,NA,NA,NA,1,51
59,"StMarys","Farmer",61110,8,"Manual",6,1883,1900,17,NA,NA,NA,NA,1,50
1272,"StMarys","Farmer",61110,8,"Manual",5,1824,1833,9,NA,NA,NA,NA,0,0
1325,"StMarys","Farmer",61110,8,"Manual",3,1823,1834,11,NA,NA,NA,NA,0,0
966,"StMartins","Farmer",61110,8,"Manual",1,1891,1891,0,NA,NA,NA,NA,1,58
1320,"StMarys","Farmer",61110,8,"Manual",5,1820,1833,13,NA,NA,NA,NA,0,0
1266,"StMarys","Farmer",61110,8,"Manual",3,1826,1830,4,NA,NA,NA,NA,0,0
444,"Tresco","Farmer",61110,8,"Manual",2,1864,1868,4,NA,NA,NA,NA,1,31
1220,"StMarys","Farmer",61110,8,"Manual",1,1909,1909,0,NA,NA,NA,NA,1,76
140,"StAgnes","Farmer",61110,8,"Manual",3,1875,1879,4,1852,23,1854,21,1,42
1573,"StMarys","Farmer",61110,8,"Manual",5,1819,1829,10,NA,NA,NA,NA,0,0
989,"StMarys","Farmer",61110,8,"Manual",2,1901,1901,0,NA,NA,NA,NA,1,68
442,"StMarys","Farmer",61110,8,"Manual",5,1847,1864,17,NA,NA,NA,NA,1,14
1076,"StMarys","Farmer",61110,8,"Manual",3,1843,1850,7,NA,NA,NA,NA,1,10
1658,"StMarys","Farmer",61110,8,"Manual",6,1809,1821,12,NA,NA,NA,NA,0,0
50,"StMarys","Farmer",61110,8,"Manual",1,1883,1883,0,NA,NA,NA,NA,1,50
1506,"StMarys","Farmer",61110,8,"Manual",1,1897,1897,0,NA,NA,NA,NA,1,64
